beta_variation_max_abs,contact_max_speed,contact_mean_speed,contact_num_sliding,description,estimated_ground_y,folder,foot_source,fps,frames,ground_confidence,max_foot_y,min_foot_y,opensim_motion,penetration0_count,penetration0_max,penetration0_mean,penetration_estimated_count,penetration_estimated_max,penetration_estimated_mean,pkl,pose_delta_lower_max_abs,pose_delta_total_max_abs,pose_delta_upper_max_abs,retarget_dir,root_max_vertical_accel,root_rms_vertical_accel,sequence,sequence_group,stage_id,stage_order,track_id
0.0,1.96668398,0.36008781,440,Fixed-beta canonical signal,-0.86779082,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/video2,feet_refined,60.0,155,high,-0.79205537,-0.90366948,,620,0.90366948,0.86050868,276,0.03587866,0.00720079,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/video2/canonical_wham_output.pkl,0.0,0.0,0.0,,0.00369787,0.0005299,video2,video,01_fixed_beta,1,merged
0.0,1.96668398,0.36008781,440,World-grounded signal,0.00878954,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/video2,feet_refined,60.0,155,high,0.09277254,-0.02125013,,137,0.02125013,0.00178745,289,0.03003967,0.00508535,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/video2/world_grounded/optimized_canonical_wham_output.pkl,0.0,0.0,0.0,,0.00244671,0.00065448,video2,video,02_world_grounded,2,merged
0.0,11.62806797,0.17103998,34,Post-processed signal: world-grounded plus lower-body/contact correction,0.00133574,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/video2,feet_refined,60.0,155,high,0.13964605,-0.00659454,,246,0.00659454,0.00065968,305,0.00793028,0.00126373,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/video2/lower_body_corrected/corrected_smpl.pkl,0.3976267,0.3976267,0.0,,0.00419021,0.0005739,video2,video,03_lower_body_corrected,3,merged
0.61341965,1.98604417,0.34137389,479,Original WHAM signal,-0.87021941,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/video3,feet_refined,60.0,173,high,-0.77654678,-0.90105021,,692,0.90105021,0.85968602,307,0.0308308,0.00594776,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/video3/wham_output.pkl,0.0,0.0,0.0,,0.00275763,0.00046595,video3,video,00_raw_wham,0,merged
0.0,1.98604417,0.34137389,479,Fixed-beta canonical signal,-0.87021941,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/video3,feet_refined,60.0,173,high,-0.77654678,-0.90105021,,692,0.90105021,0.85968602,307,0.0308308,0.00594776,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/video3/canonical_wham_output.pkl,0.0,0.0,0.0,,0.00324655,0.00049838,video3,video,01_fixed_beta,1,merged
0.0,1.98604417,0.34137389,479,World-grounded signal,0.01055986,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/video3,feet_refined,60.0,173,high,0.10506958,-0.01676178,,149,0.01676178,0.00133572,322,0.02732164,0.00538796,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/video3/world_grounded/optimized_canonical_wham_output.pkl,0.0,0.0,0.0,,0.00255406,0.00064,video3,video,02_world_grounded,2,merged
0.0,10.55636883,0.16010295,49,Post-processed signal: world-grounded plus lower-body/contact correction,0.00154138,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/video3,feet_refined,60.0,173,high,0.13084006,-0.0061444,,265,0.0061444,0.00063488,339,0.00768578,0.00132771,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/video3/lower_body_corrected/corrected_smpl.pkl,0.36395472,0.36395472,0.0,,0.00379795,0.00060038,video3,video,03_lower_body_corrected,3,merged
0.97033256,2.26052618,0.37784249,496,Original WHAM signal,-0.86267859,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/video4,feet_refined,60.0,176,high,-0.7309348,-0.89842188,,704,0.89842188,0.85087073,298,0.0357433,0.00678205,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/video4/wham_output.pkl,0.0,0.0,0.0,,0.00232591,0.0004485,video4,video,00_raw_wham,0,merged
0.0,2.26052618,0.37784249,496,Fixed-beta canonical signal,-0.86267859,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/video4,feet_refined,60.0,176,high,-0.7309348,-0.89842188,,704,0.89842188,0.85087073,298,0.0357433,0.00678205,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/video4/canonical_wham_output.pkl,0.0,0.0,0.0,,0.00235957,0.00044807,video4,video,01_fixed_beta,1,merged
0.0,2.26052618,0.37784249,496,World-grounded signal,0.00837082,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/video4,feet_refined,60.0,176,high,0.14732921,-0.02153236,,103,0.02153236,0.00055117,284,0.02990317,0.00327563,/data3/yangfeiyang/WorkSpace/optimized_wham/output/forehand_clear/video4/world_grounded/optimized_canonical_wham_output.pkl,0.0,0.0,0.0,,0.0025323,0.00060142,video4,video,02_world_grounded,2,merged
